rokurinsha.jpg | 로쿠린샤 도쿄역점 | image/jpeg | Pauloleong2002 | CC BY-SA 4.0
ichiran.jpg | 이치란 시부야점 | image/jpeg | Guilhem Vellut from Paris, France | CC BY 2.0
uobei.jpg | 우오베이 시부야 도겐자카점 | image/jpeg | bryan... from Taipei, Taiwan | CC BY-SA 2.0
gyukatsu-motomura.jpg | 규카츠 모토무라 신주쿠 미나미구치점 | image/jpeg | Raita Futo from Tokyo, Japan | CC BY 2.0
ginza-bairin.jpg | 긴자 바이린 본점 | image/jpeg | Dale Cruse from San Francisco, CA, USA | CC BY 2.0
tsujihan.jpg | 츠지한 니혼바시 본점 | image/jpeg | Ocdp | CC0
sushi-no-midori.jpg | 스시노미도리 시부야점 | image/jpeg | ウィ貴公子 | CC BY-SA 4.0
nemuro-hanamaru.jpg | 네무로 하나마루 KITTE 마루노우치점 | image/jpeg | Benjamin Hollis from Seattle, WA, USA | CC BY 2.0
afuri.jpg | AFURI 하라주쿠점 | image/jpeg | Guilhem Vellut from Annecy, France | CC BY 2.0
sometaro.jpg | 소메타로 아사쿠사 | image/jpeg | Lianguanlun | CC BY 4.0
kikanbo.jpg | 카라시비 미소라멘 키칸보 칸다 본점 | image/jpeg | Guilhem Vellut from Paris, France | CC BY 2.0
ukaitei.jpg | 긴자 우카이테이 | image/jpeg | sailko | CC BY-SA 3.0
narisawa.jpg | 나리사와 | image/jpeg | Aerous | CC BY-SA 4.0
ginza-koju.jpg | 긴자 코쥬 | image/jpeg | MichaelMaggs | CC BY-SA 3.0
bills.jpg | bills 오모테산도 | image/jpeg | pelican from Tokyo, Japan | CC BY-SA 2.0
happy-pancake.jpg | 행복한 팬케이크 오모테산도점 | image/jpeg | Andy Li | CC0
ippudo.jpg | 잇푸도 긴자점 | image/jpeg | Guilhem Vellut from Paris, France | CC BY 2.0
onigiri-bongo.jpg | 오니기리 봉고 | image/jpeg | 些細な日常 | CC BY-SA 4.0
maisen.jpg | 돈카츠 마이센 아오야마 본점 | image/jpeg | Shene81 | CC BY 3.0
menya-musashi.jpg | 멘야 무사시 신주쿠 본점 | image/jpeg | Miscellaneous contributor | CC0
fuunji.jpg | 풍운아 신주쿠 | image/jpeg | City Foodsters | CC BY 2.0
tsukiji-sushisei.jpg | 츠키지 스시세이 본점 | image/jpeg | Dllu | CC BY-SA 4.0
asakusa-gyukatsu.jpg | 아사쿠사 규카츠 | image/jpeg | pelican from Tokyo, Japan | CC BY-SA 2.0
daikokuya-tempura.jpg | 다이코쿠야 텐푸라 본점 | image/jpeg | 円周率３パーセント (Enshuritsu 3 percent) | CC BY-SA 4.0
tsurutontan.jpg | 츠루톤탄 신주쿠점 | image/jpeg | IXTA9839
torikizoku.jpg | 토리키조쿠 시부야 센터가이점 | image/jpeg | PattayaPatrol | CC BY-SA 4.0
katsukura.jpg | 카츠쿠라 신주쿠 타카시마야점 | image/jpeg | 些細な日常 | CC BY-SA 4.0
monja-kura.jpg | 몬자 쿠라 츠키시마 | image/jpeg | t-mizo from Japan | CC BY 2.0
tsukiji-itadori.jpg | 츠키지 이타도리 별관 | image/jpeg | pelican from Tokyo, Japan | CC BY-SA 2.0
ginza-kagari.jpg | 긴자 카가리 본점 | image/jpeg | Guilhem Vellut from Paris, France | CC BY 2.0
